id|cover|images|name|location|category|price|type|leilao|description|discountPercent
100|https://imagens.portalzuk.com.br/mini/2026/01/017a16b8415e5bbf6eeb086617d4e24f.webp|https://imagens.portalzuk.com.br/mini/2026/01/017a16b8415e5bbf6eeb086617d4e24f.webp;https://imagens.portalzuk.com.br/mini/2026/01/017a16b8415e5bbf6eeb086617d4e24f.webp|Rua Professor Doutor João Pitta Pinheiro Filho,  302|"Rua Professor Doutor João Pitta Pinheiro Filho, 302 Casa em leilão - Rua Professor Doutor João Pitta Pinheiro Filho, 302 - Porto Alegre/RS - Cashme Soluções Financeiras S/A | Z35399"|Venda|"R$
                      385.000,0042"|Casa||"Casa em leilão - Rua Professor Doutor João Pitta Pinheiro Filho, 302 - Porto Alegre/RS - Cashme Soluções Financeiras S/A | Z35399"|
101|https://imagens.portalzuk.com.br/mini/2026/02/f01aeaaa67831e965cd18fcbc57b0e60.webp|https://imagens.portalzuk.com.br/mini/2026/02/f01aeaaa67831e965cd18fcbc57b0e60.webp;https://imagens.portalzuk.com.br/mini/2026/02/f01aeaaa67831e965cd18fcbc57b0e60.webp|Rua Hortencio Rodrigues Barbosa,  54|"Rua Hortencio Rodrigues Barbosa, 54 Casa em leilão - Rua Hortencio Rodrigues Barbosa, 54 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|Venda|"R$
                      540.000,0028"|Casa||"Casa em leilão - Rua Hortencio Rodrigues Barbosa, 54 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|
102|https://imagens.portalzuk.com.br/mini/2026/02/e34c2538c45c1de3759594360c70f104.webp|https://imagens.portalzuk.com.br/mini/2026/02/e34c2538c45c1de3759594360c70f104.webp;https://imagens.portalzuk.com.br/mini/2026/02/e34c2538c45c1de3759594360c70f104.webp|Avenida Fabio Araujo Santos,  1458|"Avenida Fabio Araujo Santos, 1458 Apartamentos e Flats em leilão - Avenida Fabio Araujo Santos, 1458 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|Venda|"R$
                      220.000,0020"|Apartamento||"Apartamentos e Flats em leilão - Avenida Fabio Araujo Santos, 1458 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|
103|https://imagens.portalzuk.com.br/mini/2026/02/72f7970076057476470ba12b193ed7b5.webp|https://imagens.portalzuk.com.br/mini/2026/02/72f7970076057476470ba12b193ed7b5.webp;https://imagens.portalzuk.com.br/mini/2026/02/72f7970076057476470ba12b193ed7b5.webp|Rua Eroni Soares Machado,  300|"Rua Eroni Soares Machado, 300 Casa em leilão - Rua Eroni Soares Machado, 300 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|Venda|"R$
                      630.800,0024"|Casa||"Casa em leilão - Rua Eroni Soares Machado, 300 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|
104|https://imagens.portalzuk.com.br/mini/2026/02/4792f5dd6df0c379220420f8f22fc688.webp|https://imagens.portalzuk.com.br/mini/2026/02/4792f5dd6df0c379220420f8f22fc688.webp;https://imagens.portalzuk.com.br/mini/2026/02/4792f5dd6df0c379220420f8f22fc688.webp|Rua Corticeira,  551|"Rua Corticeira, 551 Casa em leilão - Rua Corticeira, 551 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|Venda|"R$
                      547.200,0024"|Casa||"Casa em leilão - Rua Corticeira, 551 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|
105|https://imagens.portalzuk.com.br/mini/2026/02/cdb5bf787e98d8a541f53059d39da34c.webp|https://imagens.portalzuk.com.br/mini/2026/02/cdb5bf787e98d8a541f53059d39da34c.webp;https://imagens.portalzuk.com.br/mini/2026/02/cdb5bf787e98d8a541f53059d39da34c.webp|Rua Carlos Estevão,  460|"Rua Carlos Estevão, 460 Apartamentos e Flats em leilão - Rua Carlos Estevão, 460 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|Venda|"R$
                      80.660,0012"|Apartamento||"Apartamentos e Flats em leilão - Rua Carlos Estevão, 460 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|
106|https://imagens.portalzuk.com.br/mini/2026/02/ce6654f9a5bad28859717a1fdf735cab.webp|https://imagens.portalzuk.com.br/mini/2026/02/ce6654f9a5bad28859717a1fdf735cab.webp;https://imagens.portalzuk.com.br/mini/2026/02/ce6654f9a5bad28859717a1fdf735cab.webp|Rua Dona Augusta,  486|"Rua Dona Augusta, 486 Apartamentos e Flats em leilão - Rua Dona Augusta, 486 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|Venda|"R$
                      191.000,00"|Apartamento||"Apartamentos e Flats em leilão - Rua Dona Augusta, 486 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|
107|https://imagens.portalzuk.com.br/mini/2026/02/60026b985bab35c03375c1c6fb9a3e35.webp|https://imagens.portalzuk.com.br/mini/2026/02/60026b985bab35c03375c1c6fb9a3e35.webp;https://imagens.portalzuk.com.br/mini/2026/02/60026b985bab35c03375c1c6fb9a3e35.webp|Rua Marcílio Dias,  358|"Rua Marcílio Dias, 358 Apartamentos e Flats em leilão - Rua Marcílio Dias, 358 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|Venda|"R$
                      156.000,0020"|Apartamento||"Apartamentos e Flats em leilão - Rua Marcílio Dias, 358 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|
108|https://imagens.portalzuk.com.br/mini/2026/02/03506027778c7bc552d31c78d6346332.webp|https://imagens.portalzuk.com.br/mini/2026/02/03506027778c7bc552d31c78d6346332.webp;https://imagens.portalzuk.com.br/mini/2026/02/03506027778c7bc552d31c78d6346332.webp|Rua Otávio Faria,  53|"Rua Otávio Faria, 53 Casa em leilão - Rua Otávio Faria, 53 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|Venda|"R$
                      487.160,0024"|Casa||"Casa em leilão - Rua Otávio Faria, 53 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|
109|https://imagens.portalzuk.com.br/mini/2026/02/e7fc68c14a3f07b9baf7b7220c9a042a.webp|https://imagens.portalzuk.com.br/mini/2026/02/e7fc68c14a3f07b9baf7b7220c9a042a.webp;https://imagens.portalzuk.com.br/mini/2026/02/e7fc68c14a3f07b9baf7b7220c9a042a.webp|Rua Carlos Huber,  442|"Rua Carlos Huber, 442 Apartamentos e Flats em leilão - Rua Carlos Huber, 442 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|Venda|"R$
                      780.000,0026"|Apartamento||"Apartamentos e Flats em leilão - Rua Carlos Huber, 442 - Porto Alegre/RS - Banco Santander Brasil S/A | Z35513"|
